Tweet_Content,First_Level_True,First_Level_Pred,Second_Level_True,Second_Level_Pred,Sentiment
body language showed you he didnt have any interest in what you had to say another presidential assault on science as fires and pandemic rage,1,1,3,3,Neutral
the so-called leader of this nation ruining it daily,1,1,3,3,Neutral
meanwhile under the radar pms legislated that your dna and fingerprints can be harvested from oct 2020 the coronavirus retention of fingerprints and dna profiles in the interests of national security no 2 regulations 2020 why,0,0,1,1,Neutral
brexit its the perfect distraction cocktail with all the money being doled out to vaccine and covid19 support there has been no funding issue seems testing coronavirus fiasco in england is perfectly timed to coincide with maximum public distress crashing with no deal,0,0,0,0,Positive
 your guy joe said in a speech 5 months but to panic like what trump told woody check it out at 230 mark dont panic sound familiar joe biden addresses coronavirus concerns from delaware via,0,0,0,0,Positive
when are you going to do your job and deploy the full resources of the federal government to fight the coronavirus and the devastating fires out west today or are you trying not to panic people every day people die while you do nothing but tweet the same old garbagejust askin,0,0,0,0,Negative
all of this should be a cause for concern especially with western governments and transnational pharmaceutical giant all rushing to roll-out their new gates-funded experimental coronavirus vaccine for the global population,0,0,0,0,Positive
wheel of fortune returning with new shows and coronavirus-related changes,0,0,1,1,Positive
press secretary kayleigh mc nany tells a whooper when she said the president has never downplayed the coronavirus after hearing a bob woodward audiotape where president trump said he downplayed the coronavirus so not to cause a panic,0,0,0,0,Neutral
people know that trumps perpetrated a genocide on thousands of americans by telling lies about the coronavirus he set people up for sickness and death he did it daily for months and he continues to have rallies and put folks in dangerous of dying trumps a monster,0,0,0,0,Negative
fair play to doing a better job than the government on informing uk travellers where they can and cant go and what to expect on arrivalreturn,1,1,3,3,Positive
as the world deals the the deadly coronavirus pandemic it is important to take care of our mental health there can be many reasons which can drive people to commit suicide depression anxiety fear nervousness defeat lack of confidences are some o,0,0,0,0,Positive
best video on coronavirus stats i have yet seen without a doubt this irishman ivor cummins is a world class chemist he gives sweden top marks lockdowns and masks are pretty much useless according to all the evidence,0,0,0,0,Positive
this is not a stat to be proud of it exemplifies how little coping skills people have and when fear anxiety or uncertainty show up the american solution seems to be drink up alcohol,1,1,2,2,Positive
are you going to be able to act surprised when teachers start dying  i estimated 300 when kids start being hospitalised and some die  will meet with bereaved loves one then  coronavirus covid19 sarscov2,0,0,1,1,Positive
terrorist definition a person who uses unlawful violence and intimidation especially against civilians in the pursuit of political aims donald j trump is an american terrorist 200000 americans dead its worse than 911,1,1,3,3,Negative
modiji must organise another thaali bhartan bajawon corona bhago event soon to kick out coronavirus,0,0,1,1,Neutral
you knew 1 trumpliedpeopledied trumpknew,1,1,3,3,Neutral
sobering fact as seen on at least 42 people who survived the 911 attack have died from the coronavirus thats terrible,0,0,1,1,Negative
oh my god this little boy saying the flu kills more than coronavirus is breaking my heart and filling me with rage at his parents obviously,0,0,1,1,Positive
i dread to think how this country would be dealing with a real horrible killer of a pandemic that kills kids amp all ages healthy or not rips thro whole families we cant even do this 1 with any unity real clear decision amp clarity been appalling from the start coronavirus,0,0,1,0,Negative
the government hopes to start shipping vaccines 24 hours after they have been approved,1,1,3,3,Neutral
this is a pretty good timeline covid is a chimeraa bat virus manipulated to attack humans fauci helped china to fund it after the usa shut down this kind of dangerous research,1,1,3,3,Positive
advocates worry that long-term care homes devastated by covid-19 earlier this year could see another deadly wave of cases this fall if authorities dont clamp down on new outbreaks,1,1,2,2,Negative
play it down trump admits to concealing the true threat of coronavirus in new woodward book,0,0,1,1,Positive
trump twists and perverts everything his twisted and perverted surrogates and minions do the same we need to put a stop to it the panic is from a deadly out of control coronavirus and failing economy even before covid he causes more stress anxiety even fear,0,0,0,0,Negative
but you played down the coronavirus threat and claimed you didnt want to scare people whatcha trying to do here huh,0,0,0,0,Negative
tbh i personally doubt they would let the public see them just like that and i know we cant just fly to and from another country because of the pandemic but clowning is not new to me so in conclusion fuck coronavirus,0,0,0,0,Positive
distress and fear poverty looms for a million australian children once coronavirus supplement slashed,0,0,0,0,Neutral
coronavirus covid19uk panic newrules england back in panic mode from monday 14th,0,0,0,0,Neutral
are you or your employees feeling anxious about returning to the office to reduce the anxiety some might have weve put together a few ways to reassure employees its safe to return to work covid19 returningtowork worksafety covid19signage,1,1,2,2,Positive
dear covidmarshalls what will you tell your child one day when she asks what you did when her rights were taken away coronavirus covid19 covid1984 fear msm secondwave schoolsreopeninguk socialdistancing facemasks facecovering nomask,0,0,0,0,Neutral
during his presidency potus used fear and panic for the caravan immigrants theyll take all your guns away lgbqt community the deep state voting the left amp so much more but were supposed to believe he didnt want to create fear and panic about coronavirus okay,0,0,0,0,Positive
oh im supposed to be upset that the president downplayed a fake virus that has now been proven to be fake uh sorrysomehow i just cant get mad about this,1,1,3,3,Negative
you call yourself law amp order yet you break every coronavirus guild lines to help end this virus from spreading you are a fear and panic chief in charge scare me scare me scare me trying to scare all the white women,0,0,0,0,Neutral
icymi some students around elpaso are returning to their school campuses for in-person learning welcomed them upload your back-to-school pics here,1,1,3,3,Neutral
a supercomputer found a promising theory about why covid-19 cases go downhill fast it even explains the bizarre range of symptoms,1,1,3,3,Positive
im a cheerleader for this country trump knew coronavirus was deadly but played down crisis explosive new woodward book rage,0,0,1,1,Negative
us is currently at 2 confirmed cases of population which has led to 200000 dead experts believe if no other measures are taken herd immunity could kick in when 50 to 70 of a population gains immunity through vaccination,1,1,3,3,Positive
76 days shows intimate emotional footage and tells human stories from the frontlines of the covid-19 pandemic in wuhan personally impacted me as the daughter of a healthcare worker in a hospital tiff20 from me for,1,1,3,3,Positive
full biden quote  i want to take a moment to say its not a time to panic about coronavirus but coronavirus is a serious public health challenge you are misleading biden was not president with access to the best information trump lied on purpose knowing more would die,0,0,0,0,Positive
latest ons stats coronavirus amp depression feeling stressed or anxious was the most common way adults experiencing some form of depression felt their well-being was being affected with 849 stating this try this free until sept 30th no contract no catch,0,0,0,1,Positive
democrats instilled panic beginning in march for political gain they maximized the damage the coronavirus did to this country so it would help them in november they still refuse to pass an aid package because they do not want to help the economy so close to an election sad,0,0,0,0,Negative
of has done work on risks of online gender-based violence against women and girls during coronavirus lockdown before lockdown women were 27x more likely to be subject to abusive tweets black women more than 80x more than 50 girls were self-censoring,0,0,1,1,Positive
trump says he knew coronavirus was deadly and worse than the flu while intentionally misleading americans trumpknew covid19 countryoverparty liarinchief notfittoserve republicansforbiden christiansforbiden bidenharristosaveamerica vote,0,0,1,1,Negative
farmer suicides add to india covid19 misery coronavirus,0,0,0,0,Neutral
yo america this is wild unreal just simply craaazy to be honest with you i wanted to always play it down trump told woodward about the coronavirus on march 19 referring to a desire not to cause panic among the american people how do you sleep,0,0,0,0,Positive
i bought so much toilet paper at the start of coronavirus it took me six months to go through it dontoverbuy,0,0,1,1,Negative
seth meyers on trump claiming without evidence that a coronavirus vaccine will be ready just in time for the election oh october how convenient unfortunately the way trump is going hes going to start handing out vials of diet coke at his rallies labeled vaccine,0,0,1,1,Negative
reports about the spread of coronavirus in lebanons largest prison raise panic among families of inmates who fear disaster if measures are not taken read more,0,0,0,0,Positive
nyc restaurant owner on closure due to coronavirus restrictions no words to describe the heartbreak foxbusiness,0,0,0,0,Negative
prayers the south boston community is mourning after an 18-year-old girl passed away from the coronavirus on friday,0,0,0,0,Neutral
this amazing venezuelan doctor fled to america in 2019 after spending years researching viruses in the amazon and all over the world now hes one of the lead researchers in nyc on the estrange inflamatory effects of covid-19 in some children,1,1,3,3,Positive
the pressure on hershey to protect halloween sales is indicative of a new stage of disruption for some businesses as the pandemic advances into the fall via,1,1,3,3,Positive
ythgbv this coronavirus crisis shows us that the world was not ready for a bacteriological war so rulers of the world put your arsenals away and start worrying about environmental issues seriously look at yourself sarscov2 visit ,0,0,1,1,Negative
coronavirus pandemic likely to leave legacy of fear and uncertainty that holds back economy for decades via,0,0,0,0,Neutral
bbc news coronavirus rise in uk cases a great concern van tam says,0,0,0,0,Positive
coronavirus tests are supposed to be free the surprise bills come anyway,0,0,1,1,Positive
read the politico piece rush just discussed bidens in fear of covid okay i want him for leader of the free world not,1,1,2,2,Positive
republicans show little concern over trump book revelations on coronavirus response what do you expect from cowards,0,0,0,0,Negative
the bill includes an extra 300 per week in unemployment benefits through december 27,1,1,3,3,Neutral
in days where the unprecedented is becoming ever more present this degree of deliberate disregard and incompetence is unacceptable is directly at fault for the death and despair spreading all over america for months vote him out,1,1,2,2,Positive
trump donate to my campaign or else if you dont cough up the dough antifa will attack your homes  also trump i lied about coronavirus and discouraged people from taking precautions because i so deeply care about promoting calm,0,0,1,1,Positive
911 ceremonies had a different look this year amid coronavirus pandemic,0,0,1,1,Neutral
he doesnt listen very well president trump says he thinks covid-19 vaccine distribution could start in october smartnews,1,1,3,3,Positive
remember when masks were equated with an attack on our constitutional freedoms,1,1,3,3,Neutral
vics budgetis expected to have a 75bdeficit its first in almost 30 years after taking a beating from the coronavirus pandemic i wonder how many lives 75b could save,0,0,1,1,Positive
melbourne is not a city in revolt the truth is far more incredible and far more boring auspol coronavirus melbournelockdown,0,0,0,0,Positive
new story half a year into the pandemic in colorado some elderly people in the rural southwest are more susceptible to isolation and loneliness than the virus reports,1,1,3,3,Positive
at least 6 reported dead in oregon wildfires as blazes rage across the west coast global warming globalwarming covid19 coronavirus trumpdoesntcare trumpdeathtoll194k trumpliedpeopledied votebluetoendthisnightmare,0,0,1,1,Negative
trumpknew and did nothing get it nothing 193thousandamericansdead because trump in the whitehouse did nothing  nothing  nothing to help americans,1,1,3,3,Neutral
new deputy chief medical officer professor jonathan van-tam says recent daily coronavirus figures almost 6000 new cases in the last two days are of great concern this hasnt gone away he says,0,0,0,0,Positive
trump told bob woodward that i wanted to always play the coronavirus down and there are tapes rage bob woodward book reveals that trump deliberately lied about the coronavirus,0,0,1,1,Negative
democrats are amassing an enormous lead in early voting alarming republicans who worry theyll need to orchestrate a huge election day turnout during a deadly coronavirus outbreak to answer the surge,0,0,0,0,Positive
this will be a nightmare for trump trumpdoesntcare trumpisunwell coronavirus covid19,0,0,0,0,Neutral
dont worry trump is on it like he was on coronavirus russiam election interference putins bounties on american soldiersuh wait a sec holy fucking shit,0,0,0,0,Negative
im going to produce and create more free content for you and make sure you feel connected to me and each other in any way we can even if it has to be virtually read more anxiety yoga mentalhealth,1,1,2,2,Positive
trump sounded not reassuring enough when asked about downplaying coronavirus in the initial stages he claims he didnt want to create panic speaking the truth not just on covid-19 pandemic but all the time is the only way to create and reassure confidence in the people,0,0,0,0,Neutral
heres babbling bidens next huge problem the plandemic is running out of steam amp we the people have grown wide to the endless media fear porn,1,1,2,2,Positive
president trump took appropriate steps without trying to panic us about the coronavirus and he hasnt tried to panic us about these riots we were already panicking from the violence looting and destruction of property and life,0,0,0,1,Positive
zuckerberg says facebook wont remove anti-vaccine posts facebook is looking the other way while disinformation about the coronavirus goes viral on its platform a direct threat to the health and safety of millions of people -,0,0,1,1,Negative
watch joe biden told americans not to panic about coronavirus in february,0,0,0,0,Neutral
sailors trapped by covid-19 fight exhaustion and despair,1,1,2,2,Negative
what didudo4asother than call45xenophobicampremain on a taxpayer paid recesshe was following experts advice who have changed their attack several times because they were learning,1,1,3,3,Neutral
newsone trump says understanding black anger and pain isnt his responsibility woodward tapes trump didnt want americans to know two deadly truths 1 about the coronavirus and 2 about white supremacists trumpknew,0,0,1,1,Negative
when you come finally to the conclusion that the coronavirus were dealing with was always going to behave in exactly the way it has done and that theres not much anybody could do about it then the passion of public debate over who is to blame sounds more and more unhinged,0,0,1,1,Positive
yall still talking about how mlk died man its 2020 yall ass the coronavirus fr yall never let a mf move on from any damn thang shit fuck how jfk died too man damn lets talk about how pluto not a planet no more or some shit because its not livable if earth blow up,0,0,1,1,Negative
here ill help a bit more full quote the democrats are politicizing the coronavirus they tried the impeachment this is their new hoax,0,0,1,1,Positive
so many people still stuck in denial the five stages of coronavirus grief explains the mental resistance against our new reality -denial -anger -bargaining -depression -acceptance people who protest health measures are in childish malicious denial and bargaining phase,0,0,1,1,Negative
also it was putins idea for trump to downplay the severity of the coronavirus as a way to avoid causing panic,0,0,0,0,Neutral
take this to the polling booth with you,1,1,3,3,Neutral
wonder why just take a look  florida state seminoles fans vs georgia tech 91220 in tallahassee no florida reports 2423 new covid-19 cases and the fewest deaths since june,1,1,3,3,Positive
 i want to take a moment to say its not a time to panic about coronavirus but coronavirus is a serious public health challenge there we go i fixed your grab quote for you youre welcome,0,0,0,0,Positive
coronavirus what is anxiety and how can i get help grow a backbone you utter snowflakes,0,0,0,0,Neutral
aviation minister kelly tolhurst was quietly replaced amid continuing fury at the lack of coronavirus tests at airports the number of patients waiting for an organ transplant has risen to a five-year high because of the pandemic,0,0,1,1,Positive
he says he didnt want to cause a panic besides blocking china flights what did he do from february to now to fight and surpress coronavirus very very little where are the instant daily saliva tests we should all have we could have stopped it in its tracks,0,0,0,0,Negative
anger as israel becomes first nation to lockdown for a second time via,1,1,3,3,Negative
 dear sir please refer this news and kindly start the local train to the 8-hour commute unlock iv without making adequate arrangements has turned citizens commute into a nightmare,1,1,3,2,Positive
anger of university of georgia students amid campus coronavirus spike,0,0,1,1,Negative
ive never seen the american west in such deep distress,1,1,2,2,Neutral
it seems incredibly stupid to screw people who are getting ready to vote politicians should have a healthy fear of the public these guys dont fear us at all,1,1,2,2,Negative
this this is the hatred and sheer stupidity you encourage and spread you will be the end of this nation coronavirus wearadamnmask,0,0,1,1,Negative
coronavirus sufferers face anger and prejudice  nhk world-japan news,0,0,1,1,Negative
these are the tapes of trump saying he lied to america,1,1,3,3,Neutral
today americans across the nation will take a moment to remember the 2977 people killed in the september 11 2001 terror attacks with tributes altered because of the coronavirus pandemic within are 14 photos the associated press captured that day,0,0,0,0,Negative
stop the fear mongering sam stop it this is a gen of kids that youre messing with start doing the hard work amp read this this is just the tip of the iceberg 90 of positive tests are false positive says the im taking legal action,1,1,3,2,Positive
senior adviser to the president ivanka trump volunteered to appear live on the view to take a coronavirus vaccine after co-host joy behar vowed to not take the inoculation until the first daughter did,0,0,0,0,Positive
5 chros see a bright spot in this pandemic heres how theyre making it shine even stronger,1,1,3,3,Positive
coronavirus share of young adults living with parents higher now than great depression pew poll finds via,0,0,0,0,Positive
another story getting a lot of play this week county commission backtracks on coronavirus health orders covid19 wyoming newcastle,0,0,1,1,Neutral
did you enjoy your trip to china town trying to make trump look bad for wanting to shut down travel from china by calling him a racist nobody wants to cause a panic we want to show leadership,1,1,2,2,Negative
no surprise there then more money for the billionaire owners of doncaster racecourse and tory party donors sod the coronavirushope none of the race goers have elderly parents or grandparents,0,1,1,3,Positive
odx elisa test from 20 apr mologic has entered into a material transfer agreement with omega diagnostics ltd omega and omega will immediately start manufacture of mologics first-generation elisa diagnostic tests,1,1,3,3,Neutral
i dont share your outrage anyone who was paying attention knew at the time trump was lying about coronavirus and his followers wouldnt have been moved by the tapes because literally nothing changes their minds im glad it came out now closer to the election,0,0,1,1,Positive
the woodward book president trump said he downplayed the coronavirus pandemic because he didnt want to cause a panic but instead many more people died,0,0,0,0,Positive
a slap in the face young people on being blamed for covid-19 rise,1,1,3,3,Positive
bbc news coronavirus rise in uk cases a great concern van tam says,0,0,0,0,Positive
will someone please take the video of trump saying he downplayed the coronavirus to avoid panic mash it together with the video from today where he claimed to up-play it and add the clown music for science,0,0,0,0,Neutral
tomorrow check out community leader teletownhall on coronavirus,0,0,1,1,Neutral
coronavirus trump knew the implications of the virus yet he did nothing afraid to panic the nation hes definitely has me panicked now,0,0,0,0,Negative
mcenany says the president never downplayed the coronavirus hes on tape in march telling bob woodward i wanted to always play it down i still like playing it down because i dont want to create a panic,0,0,0,0,Negative
brave chichester cafe owner gives his view and mine on the dangers of coronavirus covid19  and is now under attack from the socialist state we are in the 1930s when nazi germany answered the communist threat,0,0,1,1,Positive
comparing a terrorist attack where innocent people died to coronavirus,0,0,1,1,Positive
are cincinnati cheese coneys the goat football is finally back who dey will that pesky coronavirus shut everything down again including halloween go grab your cbd drinks and kick back with another episode of drunkle drunkle podcast bengals,0,0,1,1,Negative
coronavirus live updates most americans worry vaccine will be rushed by political pressure new poll finds the washington post,0,0,0,0,Positive
uk economy grows 66 in july as coronavirus restrictions eased,0,0,1,1,Neutral
the novel coronavirus usually attacks the lungs causing symptoms such as coughing amp difficulty breathing but doctors are now starting to worry about another organ the brain even with mild symptoms many people with covid19 are experiencing strokes,0,0,0,0,Positive
how covid19 attacks the brain its not just the lungs the pathogen may enter brain cells causing symptoms like delirium and confusion scientists reported via,1,1,2,2,Neutral
status update september 10 2020 0000 hrs cet on coronavirus situation in germany for details please see,0,0,1,1,Neutral
bidens full quote  i want to take a moment to say its not a time to panic about coronavirus but coronavirus is a serious public health challenge and then he added,0,0,0,0,Positive
the lockdown killed my father farmer suicides add to indias virus misery farm bankruptcies and debts have been the source of misery in india for decades but experts say the suffering has reached new levels in the corona pandemic a must read ,1,1,2,2,Negative
the 5 wildest revelations in bob woodwards new trump book,1,1,3,3,Positive
hell thanks to one of his loyalist worshippers hes got a head start on beating the coronavirus,0,0,1,1,Positive
politically appointed members of the department of health and human services communications teams were allowed to review change amp delay reports authored by the cdc according to a bombshell report published by politico late friday,1,1,3,3,Negative
this is no surprise there have been indications in the media since at least mid-august that there would be another lockdown towards the end of september sage either has a crystal ball or theres a plan being implemented that has nothing to do with coronavirus,0,0,1,1,Negative
purdue university and indiana university are taking two different approaches to how they communicate their coronavirus cases in greek and co-operative living houses,0,0,1,1,Neutral
also they werent shutting down 2 protect they know its lie which is more sinister discussion involves the low number of coronavirus cases emerging from bars and restaurants and how to handle thatand most disturbingly how to keep it from the public,0,0,1,1,Negative
so if how you fear the coronavirus pandemic is real than how are you still alive after 7 months of this how am i how is all these people on the twitter world still alive to tweet about this still after 7 months,0,0,0,0,Positive
some evidence from wisconsin that trumps throwback fear tactic campaign strategy for papering over failures of his presidencylike his inept criminal handling of the coronavirusis not working well,0,1,0,2,Negative
the coronavirus pandemic has left many children with disabilities and special needs without critical therapy leaving parents like nbc news to worry about the implications watch thereportnbc on,0,0,0,0,Positive
wheel of fortune and other game shows have made some noticeable changes to their games in the wake of the coronavirus pandemic heres what youll see when the games return to tv later this month,0,0,1,1,Negative
ummm biden has refuted all violence which trump has never done and meanwhile trump to woodward i wanted to always play the virus down and there are tapes rage bob woodward book reveals that trump deliberately lied about the coronavirus,0,0,1,1,Negative
trumpknew amp killed 190k trump privately said coronavirus is deadly stuff and knew it was highly contagious at start of february despite claiming to have it under control then said i like playing it down bombshell tapes by bob woodward reveal,0,0,1,1,Negative
police fear new coronavirus rules will see their phone lines jammed with calls from people reporting suspected breaches,0,0,0,0,Positive
pamic flashback fights break out at stores as coronavirus panic buying intensifies via,0,0,0,0,Neutral
unbelievable hes such an idiot just like the coronavirus just wait itll go away like a miracle,0,0,1,1,Negative
tonights bojo worst nightmare,1,1,2,2,Negative
rate of new coronavirus cases in town is now sixth worst in country,0,0,1,1,Negative
he didnt just play it down he did nothing when confronted he continued refusing to furnish life-saving diagnostic tests amp ppe 200000 died as a result bob woodward book rage trump admits to concealing true threat of coronavirus cnnpolitics,0,0,1,1,Positive
thank goodness that moderna the front runner for operation warp speed has been ready for this since march 28th 2019 per patent wo2017070626a2 because of a concern for reemergence or a deliberate release of the sars coronavirus vaccine development was initiated,0,0,0,0,Positive
this disgusts me because i do not believe that americans need coddling or are incompetent and need someone to hold their hand through a crisis trump acknowledges he intentionally downplayed deadly coronavirus says effort was to reduce panic,0,0,0,0,Negative
tim egan  ive never seen the american west in such deep distress the new york times,1,1,2,2,Positive
germans more afraid of donald trump than the coronavirus for many germans a second term for us president donald trump would probably be a nightmaretrump ranksnumber one this year on germans list of fearsat 53 the us president has topped the rv fear scale as early as 2018,0,0,0,0,Positive
sad to think that the coronavirus pandemic is not the national tragedy to bring us together again i wonder why neverforget,0,0,1,1,Negative
another trump assault on science as fires and pandemic rage cnnpolitics,1,1,3,3,Neutral
for women and children a double plague coronavirus and domestic violence the washington post,0,0,1,1,Neutral
trump says he misled on virus to instill calm but hes governed with scare tactics,1,1,2,2,Positive
want to start with negligent homicide on the coronavirus,0,0,1,1,Neutral
but i want to take a moment to say its not a time to panic about coronavirus but coronavirus is a serious public health challenge biden comment in february after calling trump xenophobic for china travel ban hypocrisy,0,0,0,0,Negative
another devastating news of 2020 economic nightmare has been unleashed by the coronavirus pandemic,0,0,0,0,Negative
terrifying video sees trailblazing lgbt activist izzykamikaze called paedo scum and brutally beaten by farright antimask protesters women lesbians lgbtqia covid19 ireland rightwing hate bigotry violence hatespeech hatecrimes,1,1,3,3,Negative
sums up 2020 perfectly i can only hope that both liarjohnson scummings gove et al get a second dose coronavirus antibodies fade after only a month a new study has revealed in what could signal a blow to worldwide hopes of finding a vaccine,0,0,1,1,Positive
i agree that president trump needed to not let the gullible go into a frenzy and feed their drama of dramatic epic proportions of their life as you can see by the posts of the dramatized trump acknowledges he intentionally downplayed coronavirus effort was to reduce panic,0,0,0,0,Negative
hey debbie so happy melbourne has also eradicate the flu what a milestone another pesky coronavirus glad we will have eradicate both from victoria and we wont have to worry about either again in our lifetimes,0,0,0,0,Positive
as of sept 2 on-the-job coronavirus infections were responsible for a least 100 officer deaths more than gun violence car accidents and all other causes combined according to the officer down group,0,0,1,1,Positive
the athlete engineer motivational speaker and mother of two claims its the simplicity of her lifestyle that has brought the most comfort to her life,1,1,3,3,Positive
1 quit with the bloated coronavirus numbers already 245 million out of work cmon that has to do with 1 3bounties wow what a new concept smh its been done since the start of war democrat agenda 4white national terrorists really unless youre speaking of antifa,0,0,1,1,Positive
for older people despair as well as covid-19 is costing lives thanks to volunteers and staff making a difference with reassurance calls hopefully soonsafe visits to isolated seniors,1,1,2,2,Positive
check out this reporting from australia about coronavirus nowhere in the us does it look anything like this not the response not reporting not the concern,0,0,0,0,Neutral
crisis animated media is worse than coronavirus view and take note of the parading of premiers amp acts of treasons its not about the 1st amendmentits the twin serpent of hatred amp greed,0,0,1,0,Negative
dangerous shambles just as cases start to rise should resign,1,1,3,3,Negative
another presidential assault on science as fires and pandemic rage,1,1,3,3,Neutral
i wanted to always play it down trump told woodward on march 19 i still like playing it down because i dont want to create a panic,1,1,2,2,Negative
give your kids space to remember and grieve and be there with them to answer any questions that come up caringduringcovid,1,1,3,3,Neutral
news ghana-coronavirus fight halt discrimination and violence against women and we win,0,0,1,1,Positive
new sarscov preprint antibody responses to sars-cov-2 in coronavirus diseases 2019 patients with different severity,0,0,1,1,Positive
i dont have to worry about coronavirus guys,0,0,0,0,Neutral
think they will realize the fan base is not made of domestic terror sympathizers now nfl season kickoff ratings down double digits from 2019 opener deadline,1,1,2,2,Negative
how about this one joe says not to panic,1,1,2,2,Neutral
kenreismanmachine-learning top the washington post see more,1,1,3,3,Positive
an interview with the swedish epidemiologist who believes coronavirus lockdowns are using a hammer to kill a fly,0,0,1,1,Positive
good grief how covid-19 vaccines will be delivered to australia,1,1,2,2,Negative
this was irresponsible by trump prevented mass hysteria while trying to solve a crisis the dems were not trying to help solve a thing,1,1,3,3,Neutral
canadas health minister patty hajdu who would later say there wasno reasonto doubt chinese coronavirus data says the risk of the virusis low and that early-warning systems are working exactly as they should the spread of the disease is contained hajdu claimed,0,0,0,0,Positive
poll most americans worry trump administration will rush out unsafe covid-19 vaccine,1,1,2,2,Positive
a supercomputer found a promising theory about why covid-19 cases go downhill fast it even explains the bizarre range of symptoms via,1,1,3,3,Positive
coronavirus latest new cases in california show decline as summer surge eases,0,0,1,1,Positive
we have the coronavirus pandemic we have the economic collapse and we have a civil rights pandemicwhat they all have in common is donald trump adding gasoline to the fire inciting fear sowing chaos pitting americans against each other -,0,0,0,0,Negative
the most damaging lie trump amp fauci told was hiding the fact that the contagion was airborne not downplayed the severity think about it fear of breathing germs would have united most everyone for the needed sacrifices wapo,1,1,2,2,Positive
ivanka trump tells joy behar she will take coronavirus vaccine on the view foxnews,0,0,0,0,Positive
no doubt she would also be suing him had her family and customers died from coronavirus,0,0,0,0,Neutral
wouldnt it be lovely if we could confirm that all of the elite from the powerful down to their grandchildren had rolled up their sleeves and got in line first nancy can get vaxxed at her next blow out,1,1,3,3,Positive
trump said he knowingly lied about the danger of coronavirus because he didnt want to create panic in america it seems like creating panic is his only election strategy how many people died who believed trump when he said the virus wasnt deadly--even though he knew better,0,0,0,0,Positive
room 237 the shining horror movie poster print pleated face ma by mzchiefbunny via facemask facemasks cheekyfacemasks facemasksforsale wearadamnmask coronavirus quarantine2020 mzchiefbunnyonetsy theshining overlookhotelcarpet room237,0,0,0,0,Neutral
